Wikidata,PersonInWikidata,PersonInPausanias,Description,Entity,Wikipedia,FatherLabel,FatherURL,MotherLabel,MotherURL
http://www.wikidata.org/entity/Q171795,Abkhazians,,"Northwest Caucasian ethnic subgroup of Georgia indigenous to Abkhazia",people,https://en.wikipedia.org/wiki/Abkhazians,,,,
http://www.wikidata.org/entity/Q11903853,Ablabius,,"Greek physician of the second century",human,,,,,
http://www.wikidata.org/entity/Q322053,Ablabius,,"historian of the Goths",human,https://en.wikipedia.org/wiki/Ablabius_(historian),,,,
http://www.wikidata.org/entity/Q51883245,Ablabius,,"ayudante del censor en Córcega",human,,,,,
http://www.wikidata.org/entity/Q957189,Ablabius,,"high official of the Roman Empire",human,https://en.wikipedia.org/wiki/Ablabius_(consul),,,,
http://www.wikidata.org/entity/Q322054,"Ablabius Illustrius",,"griechisch-römischer Bischof",human,,,,,
http://www.wikidata.org/entity/Q11903863,"Ablabius Murena",,"fictional Roman man formerly considered to be historical","fictional human formerly considered to be historical",,,,,
http://www.wikidata.org/entity/Q322372,Ablerus,,"mythical character","mythological Greek character",https://en.wikipedia.org/wiki/Ablerus_(mythology),,,,
http://www.wikidata.org/entity/Q2562036,Abradatas,,"Persian prince","human whose existence is disputed",https://en.wikipedia.org/wiki/Abradatas,,,,
http://www.wikidata.org/entity/Q9181,Abraham,,"legendary patriarch in the Hebrew Bible","human biblical figure",https://en.wikipedia.org/wiki/Abraham,Terah,http://www.wikidata.org/entity/Q586541,Amasla,http://www.wikidata.org/entity/Q33205630
http://www.wikidata.org/entity/Q2821860,"Abraham of Ephesus",,"archbishop of Ephesus (6th century AD)",human,https://en.wikipedia.org/wiki/Abraham_of_Ephesus,,,,
http://www.wikidata.org/entity/Q329898,"Abraomas Kulvietis",,"Lithuanian noble and writer",human,https://en.wikipedia.org/wiki/Abraomas_Kulvietis,,,,
http://www.wikidata.org/entity/Q331523,Abrocomas,,"Achaemenid satrap",human,https://en.wikipedia.org/wiki/Abrocomas,,,,
http://www.wikidata.org/entity/Q2758562,"Abronius Silo",,"Latin poet",human,https://en.wikipedia.org/wiki/Abronius_Silo,,,,
http://www.wikidata.org/entity/Q1566958,Abronychus,,"Athenian sailor",human,https://en.wikipedia.org/wiki/Abronychus,,,,
http://www.wikidata.org/entity/Q2634102,Abrota,,"Mythological wife of Nisus of Megara","mythological Greek character",https://en.wikipedia.org/wiki/Abrota,Onchestus,http://www.wikidata.org/entity/Q15838246,,
http://www.wikidata.org/entity/Q18639389,Abrotelia,,"female Pythagorean philosopher.",human,https://en.wikipedia.org/wiki/Abrotelia,,,,
http://www.wikidata.org/entity/Q21996128,Abrotonum,,"mother of Themistocles",human,,,,,
http://www.wikidata.org/entity/Q331602,Abrupolis,Ἀβρούπολιν,"2nd-century BC king of the Thracian Sapaei",human,https://en.wikipedia.org/wiki/Abrupolis,,,,
http://www.wikidata.org/entity/Q3603818,Abseus,,"mythical giant","mythological Greek character",,Uranus,http://www.wikidata.org/entity/Q79999,Gaia,http://www.wikidata.org/entity/Q93172
http://www.wikidata.org/entity/Q333658,Absyrtus,,"mythical brother of Medea","mythological Greek character",https://en.wikipedia.org/wiki/Absyrtus,Aeëtes,http://www.wikidata.org/entity/Q241971,Asterodeia,http://www.wikidata.org/entity/Q748574
http://www.wikidata.org/entity/Q333658,Absyrtus,,"mythical brother of Medea","mythological Greek character",https://en.wikipedia.org/wiki/Absyrtus,Aeëtes,http://www.wikidata.org/entity/Q241971,Neaera,http://www.wikidata.org/entity/Q1375640
http://www.wikidata.org/entity/Q2595580,Abudimus,,"Christian martyr",human,https://en.wikipedia.org/wiki/Abudimus,,,,
http://www.wikidata.org/entity/Q188265,"Abudius Ruso",,"legate during the reign of Tiberius",human,https://en.wikipedia.org/wiki/Abudius_Ruso,,,,
http://www.wikidata.org/entity/Q19918146,Abundantius,,"político romano del siglo V",human,,,,,
http://www.wikidata.org/entity/Q2489389,Abundantius,,Saint,human,,,,,
http://www.wikidata.org/entity/Q335990,Abundantius,,"Roman consul",human,https://en.wikipedia.org/wiki/Abundantius_(consul),,,,
http://www.wikidata.org/entity/Q64549280,"Aburnius Valens",,"jurista romano",human,,,,,
http://www.wikidata.org/entity/Q64758893,"Abuttius Laco",,"crony of Marcus Antonius",human,,http://www.wikidata.org/.well-known/genid/ca4e0a1e14f9e105804ab45b6fe7006a,http://www.wikidata.org/.well-known/genid/ca4e0a1e14f9e105804ab45b6fe7006a,http://www.wikidata.org/.well-known/genid/e5e1fdc1d3f0ea1928c4fa461f355854,http://www.wikidata.org/.well-known/genid/e5e1fdc1d3f0ea1928c4fa461f355854
http://www.wikidata.org/entity/Q305267,Abydenus,,"Ancient Greek historian",human,https://en.wikipedia.org/wiki/Abydenus,,,,
http://www.wikidata.org/entity/Q947753,Acacallis,Ἀκακαλλίδος,"daughter of Minos in Greek mythology","mythological Greek character",https://en.wikipedia.org/wiki/Acacallis_(mythology),Minos,http://www.wikidata.org/entity/Q23168,Pasiphaë,http://www.wikidata.org/entity/Q203236
