Wikidata,PersonInWikidata,PersonInPausanias,Description,Entity,Wikipedia,FatherLabel,FatherURL,MotherLabel,MotherURL
http://www.wikidata.org/entity/Q2822188,Acacius,,"patriarch in the 5th century",human,https://en.wikipedia.org/wiki/Acacius_of_Seleucia-Ctesiphon,,,,
http://www.wikidata.org/entity/Q337191,"Acacius of Beroea",,"Syrian bishop",human,https://en.wikipedia.org/wiki/Acacius_of_Beroea,,,,
http://www.wikidata.org/entity/Q337196,"Acacius of Caesarea",,"Palestinian bishop",human,https://en.wikipedia.org/wiki/Acacius_of_Caesarea,,,,
http://www.wikidata.org/entity/Q415483,"Acacius of Constantinople",,"religious leader",human,https://en.wikipedia.org/wiki/Acacius_of_Constantinople,,,,
http://www.wikidata.org/entity/Q7129224,"Acacius of Melitene",,"bishop of Melitene ca. 430-438",human,https://en.wikipedia.org/wiki/Acathius_of_Melitene,,,,
http://www.wikidata.org/entity/Q415491,Acacus,Ἄκακός,"mythical son of Lycaon","king in Greek mythology",https://en.wikipedia.org/wiki/Acacus_(mythology),Lycaon,http://www.wikidata.org/entity/Q501667,,
http://www.wikidata.org/entity/Q3603901,Acalanthis,,"mythological character, one of the Pierides","mythological Greek character",,Pierus,http://www.wikidata.org/entity/Q21567935,Euippe,http://www.wikidata.org/entity/Q1373650
http://www.wikidata.org/entity/Q4671657,Acallaris,,"in Greek mythology, the daughter of Eumedes","mythological Greek character",https://en.wikipedia.org/wiki/Acallaris,,,,
http://www.wikidata.org/entity/Q2822481,Acamantis,,"ancient Athenian phyle",Phyle,https://en.wikipedia.org/wiki/Acamantis,,,,
http://www.wikidata.org/entity/Q1782641,Acamas,,"son of Antenor","mythological Greek character",https://en.wikipedia.org/wiki/Acamas_(son_of_Antenor),Antenor,http://www.wikidata.org/entity/Q571969,,
http://www.wikidata.org/entity/Q21547761,Acamas,,"son of Asius in the Iliad","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q348668,Acamas,Ἀκάμας,"son of Theseus","king in Greek mythology",https://en.wikipedia.org/wiki/Acamas_(son_of_Theseus),Theseus,http://www.wikidata.org/entity/Q1320718,Phaedra,http://www.wikidata.org/entity/Q212818
http://www.wikidata.org/entity/Q415628,Acamas,,"son of Eussorus","mythological Greek character",,Eusorus,http://www.wikidata.org/entity/Q29670538,,
http://www.wikidata.org/entity/Q2822505,Acanthis,,"daughter of Hippodamia and Autonous and sister to Anthus, Erodius, Schoenous and Acanthus","mythological Greek character",https://en.wikipedia.org/wiki/Acanthis_(mythology),Autonous,http://www.wikidata.org/entity/Q4056376,,
http://www.wikidata.org/entity/Q9143205,Acanthus,,"son of Autonous in Greek mythology","mythological Greek character",https://en.wikipedia.org/wiki/Acanthus_(son_of_Autonous),Autonous,http://www.wikidata.org/entity/Q4056376,Hippodamia,http://www.wikidata.org/entity/Q29654315
http://www.wikidata.org/entity/Q2822600,"Acanthus of Sparta",,"8th-century BC Greek athlete",human,https://en.wikipedia.org/wiki/Acanthus_of_Sparta,,,,
http://www.wikidata.org/entity/Q221925,Acarnan,Ἀκαρνάν,"son of Alcmaeon in Greek mythology","mythological Greek character",https://en.wikipedia.org/wiki/Acarnan_(son_of_Alcmaeon),Alcmaeon,http://www.wikidata.org/entity/Q591089,Callirhoe,http://www.wikidata.org/entity/Q1722503
http://www.wikidata.org/entity/Q4668463,Acaste,,"Oceanid of Greek mythology",Okeanid,https://en.wikipedia.org/wiki/Acaste_(Oceanid),Oceanus,http://www.wikidata.org/entity/Q161419,Tethys,http://www.wikidata.org/entity/Q184216
http://www.wikidata.org/entity/Q9143220,Acaste,,"nurse of the children of Adrastus","mythological Greek character",https://en.wikipedia.org/wiki/Acaste_(mythological_nurse),,,,
http://www.wikidata.org/entity/Q416323,Acastus,,"legendary Athenian ruler","mythological Greek character",,Medon,http://www.wikidata.org/entity/Q1463103,,
http://www.wikidata.org/entity/Q416384,Acastus,Ἄκαστον,"mythical character, son of Pelias","mythological Greek character",https://en.wikipedia.org/wiki/Acastus,Pelias,http://www.wikidata.org/entity/Q182439,Anaxibia,http://www.wikidata.org/entity/Q488624
http://www.wikidata.org/entity/Q9143443,Acca,,"comrade of Camilla in Greek mythology","mythological Greek character",,,,,
