person,personLabel,genderLabel,personDescription,entityLabel,citizen,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q338298,Acca Larentia,female,foster mother of Romulus and Remus,human whose existence is disputed,,,,,,https://en.wikipedia.org/wiki/Acca_Larentia,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q338298,Acca Larentia,female,foster mother of Romulus and Remus,Roman deity,,,,,,https://en.wikipedia.org/wiki/Acca_Larentia,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q24951345,Accius Julianus,male,father-in-law of Lucius Neratius Priscus,human,http://www.wikidata.org/entity/Q1747689,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q5656172,Accius Labeo,male,fictional Roman poet formerly considered to be historical,fictional human formerly considered to be historical,http://www.wikidata.org/entity/Q1747689,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q24936100,Accius Sura,male,político y militar de la Antigua Roma,human,http://www.wikidata.org/entity/Q1747689,0200-01-01T00:00:00Z,,,http://www.wikidata.org/.well-known/genid/9089b099c00dafa7744c765097e19b09,,,,http://www.wikidata.org/.well-known/genid/9089b099c00dafa7744c765097e19b09,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q3604219,Acco,female,ancient Greek daimon for frightening children,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q12873234,Aceles,male,son of Heracles and eponym of Akeles in Lydia,mythological Greek character,,,Heracles,Malis,,,http://www.wikidata.org/entity/Q122248,http://www.wikidata.org/entity/Q111019958,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q16330081,Aceratus Grammaticus,male,ancient Greek epigrammatist,human,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q367565,Acerbas,male,priest from Roman mythology,mythological Greek character,,,,,,https://en.wikipedia.org/wiki/Acerbas,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q3622572,Acerronia Polla,female,friend of Agrippina the Younger,human,http://www.wikidata.org/entity/Q1747689,0059-01-01T00:00:00Z,Gnaeus Acerronius Proculus,http://www.wikidata.org/.well-known/genid/d8fb7dfc54d73d88cd0ab0ae46ecd942,http://www.wikidata.org/.well-known/genid/c5218744e1ef57ca06ba2256878ce3f4,https://en.wikipedia.org/wiki/Acerronia_Polla,http://www.wikidata.org/entity/Q514996,http://www.wikidata.org/.well-known/genid/d8fb7dfc54d73d88cd0ab0ae46ecd942,http://www.wikidata.org/.well-known/genid/c5218744e1ef57ca06ba2256878ce3f4,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q12873238,Acesamenus,male,son of Poseidon in Greek mythology,mythological Greek character,,,Poseidon,,,,http://www.wikidata.org/entity/Q41127,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q1131105,Acesander,male,Cyrenean historian,human,,,,,Cyrene,https://en.wikipedia.org/wiki/Acesander,,,http://www.wikidata.org/entity/Q44112,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q3558505,Acesas,male,Cyprian weaver famed for his skill in weaving cloth with variegated patterns,human,,-0001-01-01T00:00:00Z,,,Salamis,https://en.wikipedia.org/wiki/Acesas,,,http://www.wikidata.org/entity/Q767089,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q3604255,Acesias,male,ancient Greek physician,human,,,,,,https://en.wikipedia.org/wiki/Acesias,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q3604254,Acesidas,male,Idaean Dactyl with altar at Olympia,mythical entity,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q3604254,Acesidas,male,Idaean Dactyl with altar at Olympia,Dactyls,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q115379458,Acesis,male,ancient Greek healing divinity venerated at Epidaurus,Greek deity,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
