Identifier,Sort_order,"Location","'Date'","Geometry",Type
1.12.5,69,"Odeion of Agrippa (Athens Agora)",07-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.13.1,70,"Odeion of Agrippa (Athens Agora)",08-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.13.1,70,"Odeion of Agrippa (Athens Agora)",08-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.13.2,71,"Odeion of Agrippa (Athens Agora)",09-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.13.2,71,"Odeion of Agrippa (Athens Agora)",09-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.13.3,72,"Odeion of Agrippa (Athens Agora)",10-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.13.3,72,"Odeion of Agrippa (Athens Agora)",10-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.13.4,73,"Odeion of Agrippa (Athens Agora)",11-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.13.4,73,"Odeion of Agrippa (Athens Agora)",11-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.13.5,74,"Odeion of Agrippa (Athens Agora)",12-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.13.5,74,"Odeion of Agrippa (Athens Agora)",12-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.13.6,75,"Odeion of Agrippa (Athens Agora)",13-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.13.6,75,"Odeion of Agrippa (Athens Agora)",13-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.13.7,76,"Odeion of Agrippa (Athens Agora)",14-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.13.7,76,"Odeion of Agrippa (Athens Agora)",14-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.13.8,77,"Odeion of Agrippa (Athens Agora)",15-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.13.8,77,"Odeion of Agrippa (Athens Agora)",15-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.13.9,78,"Odeion of Agrippa (Athens Agora)",16-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.13.9,78,"Odeion of Agrippa (Athens Agora)",16-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.14.1,79,"Odeion of Agrippa (Athens Agora)",17-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.14.1,79,"Odeion of Agrippa (Athens Agora)",17-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.14.2,80,"City Eleusinion at Athens",18-09-165,"{""type"": ""Point"", ""coordinates"": [23.7247805, 37.9728361]}",hieron
1.14.3,81,"City Eleusinion at Athens",19-09-165,"{""type"": ""Point"", ""coordinates"": [23.7247805, 37.9728361]}",hieron
1.14.4,82,"City Eleusinion at Athens",20-09-165,"{""type"": ""Point"", ""coordinates"": [23.7247805, 37.9728361]}",hieron
1.14.5,83,"Temple of Eukleia, Athens",21-09-165,"{""type"": ""Point"", ""coordinates"": [23.726464, 37.971687]}",temple
1.14.6,84,"Temple of Hephaestus, Athens",22-09-165,"{""type"": ""Point"", ""coordinates"": [23.721502000000005, 37.9756065]}",temple
1.14.7,85,"Aphrodite Ourania sanctuary near Athenian agora",23-09-165,"{""type"": ""Point"", ""coordinates"": [23.722503999999997, 37.976359]}",hieron
1.14.7,85,"Aphrodite Ourania sanctuary near Athenian agora",23-09-165,"{""type"": ""Point"", ""coordinates"": [23.722503999999997, 37.976359]}",altar
1.15.1,86,"Stoa Poikile (Athens)",24-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}",stoa
1.15.1,86,"Stoa Poikile (Athens)",24-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}","mythic/historic site"
1.15.2,87,"Stoa Poikile (Athens)",25-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}",stoa
1.15.2,87,"Stoa Poikile (Athens)",25-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}","mythic/historic site"
1.15.3,88,"Stoa Poikile (Athens)",26-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}",stoa
1.15.3,88,"Stoa Poikile (Athens)",26-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}","mythic/historic site"
1.15.4,89,"Stoa Poikile (Athens)",27-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}",stoa
1.15.4,89,"Stoa Poikile (Athens)",27-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}","mythic/historic site"
1.16.1,90,"Stoa Poikile (Athens)",28-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}",stoa
1.16.1,90,"Stoa Poikile (Athens)",28-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}","mythic/historic site"
1.16.2,91,"Stoa Poikile (Athens)",29-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}",stoa
1.16.2,91,"Stoa Poikile (Athens)",29-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}","mythic/historic site"
1.16.3,92,"Stoa Poikile (Athens)",30-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}",stoa
1.16.3,92,"Stoa Poikile (Athens)",30-09-165,"{""type"": ""Point"", ""coordinates"": [23.722650000000005, 37.97635]}","mythic/historic site"
1.17.1,93,"Agora of Athens",01-10-165,"{""type"": ""Point"", ""coordinates"": [23.723000000000003, 37.975]}",agora
1.17.2,94,"Theseion of Athens",02-10-165,"{""type"": ""Point"", ""coordinates"": [23.725000000000005, 37.975]}",hieron
1.17.3,95,"Theseion of Athens",03-10-165,"{""type"": ""Point"", ""coordinates"": [23.725000000000005, 37.975]}",hieron
1.17.4,96,"Theseion of Athens",04-10-165,"{""type"": ""Point"", ""coordinates"": [23.725000000000005, 37.975]}",hieron
