Identifier,Sort_order,Location,'Date',Geometry,Type
"2.8.5",375,"Heroon of Aratos at Sikyon","10-07-166","{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}","mythic/historic site"
"2.8.6",376,"Heroon of Aratos at Sikyon","11-07-166","{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}","mythic/historic site"
"2.9.1",377,"Heroon of Aratos at Sikyon","12-07-166","{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}","mythic/historic site"
"2.9.2",378,"Heroon of Aratos at Sikyon","13-07-166","{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}","mythic/historic site"
"2.9.3",379,"Heroon of Aratos at Sikyon","14-07-166","{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}","mythic/historic site"
"2.9.4",380,"Heroon of Aratos at Sikyon","15-07-166","{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}","mythic/historic site"
"2.9.5",381,"Heroon of Aratos at Sikyon","16-07-166","{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}","mythic/historic site"
"2.12.4",403,"Phlious","07-08-166","{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}","mythic/historic site"
"2.12.5",404,"Phlious","08-08-166","{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}","mythic/historic site"
"2.12.6",405,"Phlious","09-08-166","{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}","mythic/historic site"
"2.13.1",406,"Phlious","10-08-166","{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}","mythic/historic site"
"2.13.2",407,"Phlious","11-08-166","{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}","mythic/historic site"
"2.15.5",422,"Mycenae","26-08-166","{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}","mythic/historic site"
"2.16.1",423,"Mycenae","27-08-166","{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}","mythic/historic site"
"2.16.2",424,"Mycenae","28-08-166","{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}","mythic/historic site"
"2.16.3",425,"Mycenae","29-08-166","{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}","mythic/historic site"
"2.16.4",426,"Mycenae","30-08-166","{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}","mythic/historic site"
"2.16.5",427,"Mycenae","31-08-166","{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}","mythic/historic site"
"2.16.6",428,"Mycenae","01-09-166","{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}","mythic/historic site"
"2.16.7",429,"Mycenae","02-09-166","{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}","mythic/historic site"
"2.18.4",440,"Gate of Eileithyia in Argos","13-09-166","{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}","mythic/historic site"
"2.18.5",441,"Gate of Eileithyia in Argos","14-09-166","{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}","mythic/historic site"
"2.18.6",442,"Gate of Eileithyia in Argos","15-09-166","{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}","mythic/historic site"
"2.18.7",443,"Gate of Eileithyia in Argos","16-09-166","{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}","mythic/historic site"
"2.18.8",444,"Gate of Eileithyia in Argos","17-09-166","{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}","mythic/historic site"
"2.18.9",445,"Gate of Eileithyia in Argos","18-09-166","{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}","mythic/historic site"
"2.19.1",446,"Gate of Eileithyia in Argos","19-09-166","{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}","mythic/historic site"
"2.19.2",447,"Gate of Eileithyia in Argos","20-09-166","{""type"": ""Point"", ""coordinates"": [22.7195, 37.6316]}","mythic/historic site"
"2.26.2",509,"Asklepieion of Epidauros","21-11-166","{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}","mythic/historic site"
"2.26.3",510,"Asklepieion of Epidauros","22-11-166","{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}","mythic/historic site"
"2.26.4",511,"Asklepieion of Epidauros","23-11-166","{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}","mythic/historic site"
"2.26.5",512,"Asklepieion of Epidauros","24-11-166","{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}","mythic/historic site"
"2.26.6",513,"Asklepieion of Epidauros","25-11-166","{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}","mythic/historic site"
"2.26.7",514,"Asklepieion of Epidauros","26-11-166","{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}","mythic/historic site"
"2.26.8",515,"Asklepieion of Epidauros","27-11-166","{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}","mythic/historic site"
"2.26.9",516,"Asklepieion of Epidauros","28-11-166","{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}","mythic/historic site"
"2.26.10",517,"Asklepieion of Epidauros","29-11-166","{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}","mythic/historic site"
"2.27.1",518,"Asklepieion of Epidauros","30-11-166","{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}","mythic/historic site"
"2.27.2",519,"Asklepieion of Epidauros","01-12-166","{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}","mythic/historic site"
"2.27.3",520,"Asklepieion of Epidauros","02-12-166","{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}","mythic/historic site"
"2.27.4",521,"Asklepieion of Epidauros","03-12-166","{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}","mythic/historic site"
"2.27.5",522,"Asklepieion of Epidauros","04-12-166","{""type"": ""Point"", ""coordinates"": [23.075, 37.597]}","mythic/historic site"
