person,personLabel,genderLabel,personDescription,entityLabel,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q106624763,Celaenus son of Phlyus,male,"Greek mythological character, father of Caucon",mythological Greek character,,Phlyus,,,,http://www.wikidata.org/entity/Q106624735,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q123334066,Celbidas of Cumae,male,possible founder of Triteia in Greek mythology,mythological Greek character,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q115380594,Celeae,,ancient locality 5 stadia from Phlius with mystery cult,locality,,,,,,,,,,
http://www.wikidata.org/entity/Q16188353,Celedones,,singing creatures in Greek mythology described by Pindar,group of mythical creatures,,,,,,,,,,
http://www.wikidata.org/entity/Q16188353,Celedones,,singing creatures in Greek mythology described by Pindar,mythical creature,,,,,,,,,,
http://www.wikidata.org/entity/Q57157139,Celusa,female,mythical mother of Asopus,Oread,,,,,https://en.wikipedia.org/wiki/Celusa,,,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q57157139,Celusa,female,mythical mother of Asopus,naiad,,,,,https://en.wikipedia.org/wiki/Celusa,,,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q124616318,Cenotaph of Brasidas near Agora of Sparta,,Ancient place in Lakonia attested by Pausanias (3.14.1),tomb,,,,,,,,,,
http://www.wikidata.org/entity/Q16188325,Cephalus of Athens,male,ancient Athenian orator and politician,human,-0400-01-01T00:00:00Z,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q858116,"Cepheus, King of Aethiopia",male,mythical character,mythological Greek character,,Phoenix,Anchiroe,,https://en.wikipedia.org/wiki/Cepheus_(father_of_Andromeda),http://www.wikidata.org/entity/Q1145956,http://www.wikidata.org/entity/Q3615214,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q858116,"Cepheus, King of Aethiopia",male,mythical character,mythological Greek character,,Belus,Anchiroe,,https://en.wikipedia.org/wiki/Cepheus_(father_of_Andromeda),http://www.wikidata.org/entity/Q617753,http://www.wikidata.org/entity/Q3615214,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q858116,"Cepheus, King of Aethiopia",male,mythical character,mythological Greek character,,Agenor,Anchiroe,,https://en.wikipedia.org/wiki/Cepheus_(father_of_Andromeda),http://www.wikidata.org/entity/Q392631,http://www.wikidata.org/entity/Q3615214,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q91121877,Cephisocles of Chios,male,"fought with Lysander at Aegospotami, he was represented in a votive group in Delphi",human,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q91121919,Cephisodotous of Boeotia,male,Boeotarch in 279 BCE,human,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q708950,Cephisodotus the Younger,male,Greek sculptor of the 4th-century BC,human,-0300-01-01T00:00:00Z,Praxiteles,,Athens,https://en.wikipedia.org/wiki/Cephisodotus_the_Younger,http://www.wikidata.org/entity/Q105290,,http://www.wikidata.org/entity/Q1524,http://www.wikidata.org/entity/Q6581097,classical antiquity
http://www.wikidata.org/entity/Q115829088,Cephisus,,"semi-mythological watercourse near Argos, Greece",river god,,,,,,,,,,
http://www.wikidata.org/entity/Q115829088,Cephisus,,"semi-mythological watercourse near Argos, Greece",watercourse,,,,,,,,,,
http://www.wikidata.org/entity/Q3664982,Ceramus,male,"mythical figure, gave name to Cerameicus",mythological Greek character,,Dionysus,Ariadne,,,http://www.wikidata.org/entity/Q41680,http://www.wikidata.org/entity/Q184874,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107264533,Ceraunius,,"epithet of Zeus, of the lightning bolt",epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q5064045,Cerdo,female,wife of Phoroneus in Greek mythology,mythological Greek character,,,,,https://en.wikipedia.org/wiki/Cerdo_(mythology),,,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q107313035,Cereatas,,epithet of Apollo in ancient Arcadia,epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q5064218,Cerethrius,male,Gallic war leader,human,-0276-01-01T00:00:00Z,,,,https://en.wikipedia.org/wiki/Cerethrius,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q16545569,Ceryces,,ancient Athenian clan with religious functions,noble family,,,,,,,,,,
http://www.wikidata.org/entity/Q3269950,Cetus,,sea monster or large sea creature,water deity,,,,,https://en.wikipedia.org/wiki/Cetus_(mythology),,,,,
http://www.wikidata.org/entity/Q3269950,Cetus,,sea monster or large sea creature,sea monster,,,,,https://en.wikipedia.org/wiki/Cetus_(mythology),,,,,
http://www.wikidata.org/entity/Q578888,Ceyx,male,"mythical son of Phosporus, husband of Alcyone",mythological Greek character,,Phosphorus,,,https://en.wikipedia.org/wiki/Ceyx,http://www.wikidata.org/entity/Q1775444,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q106879595,Chaereas,male,Theban military commander defeated by Sparta before Leuctra (371 BCE),human,-0370-01-01T00:00:00Z,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q20851861,Chaereas of Sicyon,male,ancient Olympic athlete,human,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q5066581,Chaeresilaus,male,mythical father of Poemander,mythological Greek character,,Iasus,,,https://en.wikipedia.org/wiki/Chaeresilaus,http://www.wikidata.org/entity/Q106405710,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q428222,Chaeron of Pellene,male,4th-century BC wrestler and tyrant of Pellene,human,http://www.wikidata.org/.well-known/genid/6ee08a1fdf37d23588bc4a516f0e40a3,,,Pellene,https://en.wikipedia.org/wiki/Chaeron_of_Pellene,,,http://www.wikidata.org/entity/Q2068130,http://www.wikidata.org/entity/Q6581097,Hellenistic period
http://www.wikidata.org/entity/Q107043417,Chaireas statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,classical antiquity
http://www.wikidata.org/entity/Q391010,Chalciope,female,"mythological figure, daughter of Aetes",mythological Greek character,,Aeëtes,Eidyia,,https://en.wikipedia.org/wiki/Chalciope_(daughter_of_Aeetes),http://www.wikidata.org/entity/Q241971,http://www.wikidata.org/entity/Q2293877,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q57305416,Chalcodon,male,slain suitor of Hippodameia,mythological Greek character,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107622387,Chalcodon,male,"companion of Heracles, killed in campaign against Elis",mythological Greek character,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107349786,Chalinitis,,epithet of Athena,epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q2947833,Chalkoarai,,children of Heracles and Megara,group of Greek mythical characters,,,,,,,,,,
http://www.wikidata.org/entity/Q106255950,Chamynus,male,mythical citizen of ancient Pisa in Greece,human whose existence is disputed,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q131090,Chaos,male,Greek primordial deity,Greek primordial deity,,,,,https://en.wikipedia.org/wiki/Chaos_(mythology),,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107043562,Charinos statue at Olympia,,ancient Greek artwork seen by Pausanias ca. 165 CE,honorific statue,,,,,,,,,,classical antiquity
http://www.wikidata.org/entity/Q19960991,Charinus of Elis,male,ancient Greek athlete,human,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q1001949,Charisius,male,4th-century Roman grammarian,human,0400-01-01T00:00:00Z,,,Africa,https://en.wikipedia.org/wiki/Charisius,,,http://www.wikidata.org/entity/Q15,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q1067590,Charmides,male,5th-century BC Athenian politician,human,-0402-01-01T00:00:00Z,Glaucon,,Classical Athens,https://en.wikipedia.org/wiki/Charmides,http://www.wikidata.org/entity/Q13409907,,http://www.wikidata.org/entity/Q844930,http://www.wikidata.org/entity/Q6581097,classical antiquity
