BookID,Place,Links,Lat,Lon,Type,Label,Tags,Comments
1.2.2,Κνίδῳ,http://pleiades.stoa.org/places/599575,36.686188,27.37404,settlement,"Knidos/Cnidus, Tekir|Cnidus, Burgaz örenyeri|Cnidus|Cnidus","built|settlement|t - post-Peloponnesian War|t - husteron",battle
1.2.2,Μακεδονίᾳ,http://pleiades.stoa.org/places/981531,42.5,22.5,province,"Macedonia (Roman province)","regional|t - Peloponnesian War",NULL
1.2.2,Μήδων,http://pleiades.stoa.org/places/922698,30.5,51.5,unknown,Persis/Pars,"proxy|t - Persian War|m - choreō",NULL
1.2.2,μνῆμα,http://topostext.org/binder/JB1381,37.975,23.725,NULL,"Euripides, tomb",built|mnema|Paus|Euripides,NULL
1.2.2,Πειραιῶς,http://pleiades.stoa.org/places/580062,37.937222,23.644609,"theatre,region,settlement,fort","Peiraieus/Piraeus, Peiraieus/Piraeus|Peiraieus/Piraeus","built|harbour|Paus|l - ek|f - narratee",NULL
1.2.2,τὰ,http://topostext.org/binder/JB2751,37.975,23.723,NULL,"Themistoklean City Wall","built|wall|t - Persian War|b - Themistokles",Q12877842
1.2.2,τάφοι,http://topostext.org/binder/JB2094,37.975,23.725,NULL,"Menander, tomb",built|taphos|Paus|Menander,NULL
1.2.2,τειχῶν,http://topostext.org/place/380237FLW1,37.96235,23.7026,NULL,"S Long Wall 1 (Athens)","built|teichos|Paus|f - narratee|s - ereipia",NULL
1.2.2,τριάκοντα,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae","proxy|t - Peloponnesian War|s - arche|n - onomazō","The Thirty, Q"
1.2.3,ἐπίθημα,http://topostext.org/binder/JB3506,37.9785,23.718,NULL,"Warrior and Horse sculpture",object|epithema|Paus,NULL
1.2.3,Μακεδόνων,http://pleiades.stoa.org/places/981531,42.5,22.5,province,"Macedonia (Roman province)","proxy|analogic|t - Macedonian War",NULL
1.2.3,πυλῶν,http://topostext.org/place/380237FSac,37.97806,23.71856,NULL,"Sacred Gate (Athens)","built|gate|Paus|l - ou porro","gate, where the road from Piraeus enters Athens|Is it the Melitides or Kerameikos Gate?"
1.2.3,Ῥόδιος,http://pleiades.stoa.org/places/590030,36.41451,28.15629,"island,settlement,temple-2,stadion","Ialysus/Ialysos, Trianda, Ialysos|Lindos/Lindus, Lindos|Apollo Erethimios, Apollo Erethimios|Rhodos Ins., Rhodos|Rhodos, Rhodos|Kamiros/Camirus, Kamiros, Kalavarda|Apollo Erethimios, T.|Ialysos|Kamiros|Lindos|Rhodos|Rhodos (island)","proxy|analogic|t - Macedonian War",NULL
1.2.3,Σάμου,http://pleiades.stoa.org/places/599925,37.73,26.84,"island,sanctuary,settlement,temple-2","Samos Ins./Samus Ins., Samos|Samos, Samos|Heraion, Heraion|Heraion|Samos|Samos (island)","built|settlement|analogic|t - pre-Persian War",NULL
1.2.3,Σικελίᾳ,http://pleiades.stoa.org/places/462492,37.53667611952188,14.08648464579389,island,"Sicilia (island)","regional|analogic|t - post-Peloponnesian War|t - husteron",NULL
1.2.3,Σολεὺς,http://pleiades.stoa.org/places/648781,35.1406719,32.8125385,"theatre,settlement","Soloi/Aipeia?, Potamos tou Kambou|Soloi/Pompeiopolis, Viranşehir|Soloi/Aipeia?|Soloi/Pompeiopolis","proxy|analogic|t - Macedonian War",NULL
1.2.3,Συρακούσας,http://pleiades.stoa.org/places/462503,37.05963,15.29382,settlement,"Syracusae/Syrakousai, Siracusa|Syracusae/Syrakousai","built|settlement|analogic|t - post-Persian War",NULL
1.2.3,"τὸν ἵππον καὶ τὸν στρατιώτην",http://topostext.org/binder/JB3506,37.9785,23.718,NULL,"Warrior and Horse sculpture","object|sculpture|f - narrator|b - Praxiteles",1.2.3
1.2.4,ἃς,http://topostext.org/place/380237BPom,37.9782,23.7188,NULL,"Pompeion (Athens)","built|building|t - present|s - ritual",NULL
1.2.4,αὐτή,http://arachne.dainst.org/entity/3888008,37.97945,23.71622,NULL,"Standing statue: Demeter in group with Kore and Iakchos  Athen (Paus. 1.2.4)","object|agalma|Paus|b - Praxiteles|Demeter|agency","Demeter, Q40730|person|statue, Demeter, sanctuary of Demeter in Athens (bdr:JB0988)"
1.2.4,"γράμμασιν Ἀττικοῖς",http://pleiades.stoa.org/places/579888,38.051998833333336,23.818991099999998,region,Attica,proxy|grammata|Paus,NULL
1.2.4,εἰκόνα,http://arachne.dainst.org/entity/3888286,37.97945,23.71622,NULL,"Statue Group: Poseidon, horse and Polybotes   Athen (Paus. 1.2.4)","object|statue|t - eph hemon|f - narrator|t - present","statue, Poseidon group, not far from the sanctuary of Demeter in Athens (bdr:JB0988)"
1.2.4,εἰκόνες,http://arachne.dainst.org/entity/3652651,37.97945,23.71622,NULL,"Bronze images: notable men and women  Athen (Paus. 1.2.4)","object|eikon|Paus|mat - chalkos|women and men","bronze images, notable women and men, in front of the stoa near Kerameikos"
1.2.4,ἔργα,http://arachne.dainst.org/entity/3888285,37.97945,23.71622,NULL,"Statue Group: Demeter, Kore, Iakchos  Athen (Paus. 1.2.4)",object|statue|Paus,"statue, Demeter and Persephone and Iakchos, sanctuary of Demeter in Athens (bdr:JB0988)"
1.2.4,Ἴακχος,http://arachne.dainst.org/entity/3888010,37.97945,23.71622,NULL,"Standing statue: Iakchos with Fackel in group with Demeter and Kore  Athen (Paus. 1.2.4)","object|agalma|Paus|b - Praxiteles|Iakchos|agency","Iakchos, Q690603|person|statue, Iakchos, sanctuary of Demeter in Athens (bdr:JB0988)"
1.2.4,ἵππου,http://arachne.dainst.org/entity/3888012,37.97945,23.71622,NULL,"Statue: horse in group mti Poseidon and Polybotes  Athen (Paus. 1.2.4)",object|statue|Paus|horse|agency,"person|statue, horse in Poseidon group, not far from the sanctuary of Demeter in Athens (bdr:JB0988)"
